"jvm","mode","gcc","gc","benchmark","category","cpu","ti","ipc","tbr","tbrpti","brmps","tbmr","bmr","tl1dl","tl1dlpti","l1dlmps","tl1dlmr","l1dlmr","tl2dl","tl2dlpti","l2dlmps","tl2dlmr","l2dlmr","tpf","tpfpti","pfmr","pfkps","to","topti","rtp","tc","meanA","stdA","minA","maxA","samplesA","meanV","stdV","minV","maxV","samplesV","meanW","stdW","minW","maxW","samplesW","C","Ah","energyJ","energyWh","l1dlmrps","l2dlmrps"
"j14","INT","GCC8","CGC","gauss-mix","apache",1.8879375,2066476773170.28,0.8084375,243655357321.031,11.790858244338,141.64853125,31093799394.2188,12.76,919968308193.719,44.5186851072725,534.82446875,22385139267.5938,2.4321875,44192639867.5,2.13854530041211,25.630125,441284470.53125,1.0165625,358064.5625,1.73272966834665e-05,0.0815553489244127,0.208125,858660467788.031,41.5519113479774,911.550738116062,1720667.45911575,0.769466,0.0581133,0.472188,1.47714,1823384610,5.00458,0.011878,4.85324,5.08932,1823384610,3.85036,0.284212,2.38596,7.21085,1823384610,701.517,0.194866,3510.34,0.975095,13.0079338758789,0.260546239453125
"j14","INT","GCC8","CGC","log-regression","apache",1.69525,941765462714.5,0.8528125,142908436565.375,15.1583952419357,189.75865625,10171449949.8438,7.2703125,431104861835.906,45.7811251410136,572.88509375,9221957559.3125,2.18375,21161703150.625,2.29802462742096,28.5311875,359913334.125,1.701875,539861.375,5.94266416542603e-05,0.152334237031842,0.66284375,346590461162.594,36.7624549896298,442.919872632062,748739.825379406,0.755735,0.075804,0.471854,1.47848,930112577,5.00712,0.015199,4.85324,5.09045,930112577,3.7831,0.370426,2.38374,7.21416,930112577,351.459,0.0976275,1759.35,0.488709,12.5103782347656,0.485565147265625
"j14","INT","GCC8","CGC","mnemonics","functional",1.00284375,895914917275.469,0.6315625,124105986377.625,13.8524289748011,130.0903125,23988880320.9688,19.3278125,442419121205.312,49.3818227394656,463.75084375,24517852103.375,5.541875,27720109049.3438,3.0940557280395,29.0478125,117829538.96875,0.425625,359239.25,4.00974619705226e-05,0.305603471674402,0.37659375,301669700643.188,33.6716925576938,951.287385363813,954041.68426575,0.67776,0.0437023,0.575919,1.42778,1894950645,5.02237,0.00909541,4.86573,5.07116,1894950645,3.40375,0.215088,2.89704,6.97959,1894950645,642.161,0.178378,3224.97,0.895825,25.7004920720703,0.123634751953125
"j14","INT","GCC8","CGC","movie-lens","apache",2.95384375,2644364639535.84,0.6615625,402549611239.844,15.2089332841083,149.34753125,64503033368.2812,16.015,1308094893306.94,49.4271597496505,485.36290625,30674704236.6562,2.355625,61082149043.4375,2.32294818468172,22.79996875,1471512889.34375,2.42375,537884.5625,2.21348061900318e-05,0.0389509782157429,0.21734375,872637985945.625,33.0409587815595,906.171926807344,2693346.90185153,0.88709,0.14609,0.474523,1.66326,1944491923,4.98196,0.028565,4.81692,5.08932,1944491923,4.41548,0.706335,2.39669,8.06654,1944491923,862.47,0.239575,4292.94,1.19248,11.4333299603516,0.552614242578125
"j14","INT","GCC8","CGC","naive-bayes","apache",3.13625,8856560282149.75,0.7603125,1279640335253.22,14.5503565989395,164.7724375,135135399013.219,10.3190625,4076892584252.59,46.1864455326611,522.96115625,129616130307.125,3.1325,298700356644.281,3.33304319987749,37.70690625,1601263739.75,0.558125,568071.34375,9.98316230246705e-06,0.0506381864839955,0.11453125,3201327005999.66,35.9301546685219,2426.10427310028,7852624.13989219,0.936628,0.152372,0.467185,1.67293,5344904477,4.97127,0.0301751,4.81125,5.09159,5344904477,4.65185,0.735468,2.35909,8.10044,5344904477,2503.09,0.695304,12431.8,3.45329,16.3817582195312,0.210451670507813
"j14","INT","GCC8","CGC","neo4j-analytics","database",1.50596875,5746405436132.72,0.7175,798633465466.188,13.9256768962586,147.93865625,101987477925.625,12.7365625,2601171514292.25,45.268831054526,480.929875,101451090341.906,3.9440625,175936634203.469,3.04943835422196,32.389,8333481300.1875,4.73,580390.5,1.22107135367587e-05,0.00872733716291001,0.1295,2170663822170.81,37.7560536949935,3512.53750350644,5403177.44266266,0.742972,0.0918848,0.47052,1.68294,7912730833,5.00861,0.0184216,4.80898,5.08932,7912730833,3.71976,0.446225,2.3754,8.1467,7912730833,2939.47,0.816519,14716.7,4.08798,18.9681748511719,1.5319997
"j14","INT","GCC8","CGC","page-rank","apache",2.87946875,4757096191473.34,0.69625,679152108364.938,14.3389746896597,148.1529375,87544539485.7812,12.794375,2203149980331.44,46.4686769110234,480.10746875,79577818430.4062,3.52125,165190797567.625,3.38869165759659,34.9744375,3865974583.15625,2.3925,548488.9375,1.49090103176484e-05,0.0190441549564802,0.15515625,1709603305209.34,35.8036567417203,1552.65971523656,4617114.40238406,0.906237,0.161559,0.472521,1.71029,3376039052,4.97511,0.0323448,4.80444,5.08818,3376039052,4.50361,0.778779,2.38497,8.26034,3376039052,1529.75,0.424929,7602.18,2.11172,16.9057842433594,0.8367634171875
"j14","INT","GCC8","CGC","par-mnemonics","functional",1.24259375,893989586765.875,0.6178125,123917947844.062,13.8612330533258,127.4746875,24188966038.2188,19.5184375,442233597290.906,49.4674370082882,454.932125,24648311403.625,5.5721875,36378764833.1875,4.06927003381906,37.39846875,138759822.4375,0.3815625,357559.1875,3.99958914520466e-05,0.25875552751543,0.36775,291459276797.719,32.602059904567,782.366076777125,972193.606627375,0.704985,0.0615424,0.495869,1.46881,1590666580,5.01522,0.0126598,4.84984,5.07683,1590666580,3.53506,0.300755,2.50394,7.16189,1590666580,560.698,0.15575,2811.55,0.780987,25.3496710027344,0.142698532324219
"j14","INT","GCC8","CGC","philosophers","scala",3.03159375,1234719567530.91,0.619375,184146281458.344,14.9139819955372,135.48328125,24753485601.5312,13.4415625,554794050868.438,44.9327082856953,408.1839375,31761552451.875,5.7240625,75407647225.5625,6.10673444246411,55.461625,2396001802.40625,3.180625,319435.8125,2.58729309957552e-05,0.0133503997855719,0.23503125,420371587978.562,34.0465752763034,448.367115968875,1359265.653748,0.91488,0.125908,0.547902,1.66093,929357770,4.97331,0.0256412,4.81238,5.06889,929357770,4.54696,0.605984,2.75735,8.04391,929357770,425.125,0.11809,2112.88,0.58691,23.3647036974609,1.76402631015625
"j14","INT","GCC8","CGC","reactors","concurrency",2.27628125,3849488762914.28,0.6365625,510907972135.594,13.2730966127353,124.91215625,83379946385.3438,16.325,1782733413967.47,46.3150876104005,435.86878125,84239469094.2812,4.7265625,175103651412.5,4.55333655187007,42.837,6090155680.6875,3.48,584731.0625,1.51936749613134e-05,0.00961225133513304,0.1429375,1380743725398.72,35.8584792249941,1803.45279379103,4089711.92266378,0.819138,0.159942,0.479526,1.7293,3752475304,4.99256,0.0319506,4.80217,5.08591,3752475304,4.08468,0.771315,2.42195,8.35346,3752475304,1536.9,0.426916,7663.83,2.12884,20.6016103637695,1.4907276
