"jvm","mode","gcc","gc","benchmark","category","cpu","ti","ipc","tbr","tbrpti","brmps","tbmr","bmr","tl1dl","tl1dlpti","l1dlmps","tl1dlmr","l1dlmr","tl2dl","tl2dlpti","l2dlmps","tl2dlmr","l2dlmr","tpf","tpfpti","pfmr","pfkps","to","topti","rtp","tc","meanA","stdA","minA","maxA","samplesA","meanV","stdV","minV","maxV","samplesV","meanW","stdW","minW","maxW","samplesW","C","Ah","energyJ","energyWh","l1dlmrps","l2dlmrps"
"j09","HS","GCC5","CGC","akka-uct","concurrency",3.495,354160979788,0.73,65889810024,18.6044803872639,198.965,1487892843,2.26,117686538441,33.2296738368656,355.374,2787736512,2.37,10896998712,3.07684904150732,32.905,1624953339,14.91,382378,0.000107967286579366,0.0235346830729686,0.001,159687632611,45.0889967343632,94.751742075,331162.132283,0.959763,0.133887,0.501206,1.75465,189576047,4.96475,0.0268075,4.79309,5.08024,189576047,4.7616,0.643733,2.52975,8.45837,189576047,90.974,0.0252706,451.343,0.125373,8.4223638,4.9061355
"j09","HS","GCC5","CGC","chi-square","apache",1.201,92781507207,0.86,17233254769,18.5740189912541,238.387,536939513,3.12,24958071647,26.8998342431723,345.244,639287066,2.56,2386723834,2.57241330287414,33.015,335773316,14.07,164093,0.000176859597283649,0.0488645369347695,0.002,48203456957,51.9537334626994,60.205436507,72291.132328,0.716202,0.128304,0.473522,1.59755,120476729,5.0127,0.0256138,4.82487,5.08705,120476729,3.58701,0.623937,2.39109,7.75331,120476729,43.1429,0.0119841,216.076,0.060021,8.8382464,4.6452105
"j09","HS","GCC5","CGC","db-shootout","database",1.235,270900984011,0.7,50750562536,18.7339897347657,188.503,899332459,1.77,71101316585,26.2462378439027,264.092,1722347848,2.42,8459768841,3.12282691474332,31.422,1087303677,12.85,524792,0.000193720964844739,0.0482753667689449,0.002,140589336049,51.8969455065882,218.018464281,269228.916423,0.715025,0.161893,0.471854,1.76766,436104249,5.0129,0.0322089,4.79309,5.08932,436104249,3.57932,0.785589,2.38321,8.51868,436104249,155.913,0.0433091,780.478,0.2168,6.3910264,4.037727
"j09","HS","GCC5","CGC","dec-tree","apache",1.526,125167156265,0.75,24135111679,19.2823040797555,215.341,1065631653,4.42,39367404779,31.4518648132043,351.249,1300920360,3.3,4636859116,3.70453340505954,41.372,724967736,15.63,144701,0.000115606205587705,0.0199658890639651,0.001,57027780691,45.5612977019807,73.429930661,112078.416472,0.746634,0.158293,0.474189,1.61223,146926413,5.00641,0.0314644,4.82146,5.08705,146926413,3.73316,0.76762,2.395,7.82453,146926413,54.8501,0.0152361,274.25,0.0761805,11.591217,6.4664436
"j09","HS","GCC5","CGC","dotty","scala",2.249,143269146389,0.61,29826536838,20.8185346180649,188.635,1572318580,5.27,52853814590,36.8912748642286,334.268,2711146761,5.13,7819407750,5.45784486547368,49.453,1403462929,17.95,127726,8.915108606371e-05,0.00909999174310903,0.808,52769387211,36.8323456522329,70.310986461,158118.122245,0.82101,0.101734,0.498204,1.5085,140688785,4.99152,0.0205368,4.84076,5.08137,140688785,4.0962,0.492657,2.51347,7.34678,140688785,57.7534,0.0160426,288.144,0.0800401,17.1479484,8.8768135
"j09","HS","GCC5","CGC","finagle-chirper","web",2.886,89416384810,0.4,17296337186,19.3435881161521,115.319,1268523787,7.33,31412786100,35.1309060042505,209.438,1466882015,4.67,6814986681,7.62163075087536,45.437,1518920125,22.29,79305,8.86917986770707e-05,0.00522066095270202,0.529,33892274843,37.9038751287221,51.970933298,149986.391753,0.855083,0.121029,0.449174,1.54752,104007829,4.98485,0.02427,4.83508,5.08932,104007829,4.25972,0.585597,2.27069,7.52982,104007829,44.4676,0.0123521,221.522,0.061534,9.7807546,10.1279073
"j09","HS","GCC5","CGC","finagle-http","web",3.105,69700718077,0.33,13548413265,19.4379823318789,95.969,1182914321,8.73,25330580285,36.3419215523959,179.426,1342429537,5.3,6652497433,9.54437431426579,47.122,1373299429,20.64,78719,0.000112938578212404,0.0057330424809195,0.558,24169227094,34.6757218014593,45.460139459,141175.626517,0.864684,0.11136,0.492867,1.58788,91024867,4.98319,0.02243,4.82827,5.08364,91024867,4.30659,0.538655,2.4843,7.70133,91024867,39.3539,0.0109316,196.003,0.0544454,9.509578,9.7259808
"j09","HS","GCC5","CGC","fj-kmeans","concurrency",3.054,111762419998,0.78,18131866474,16.2235807656317,165.088,199119845,1.1,29597670953,26.4826682828894,269.482,775916691,2.62,2616925417,2.34150747366318,23.827,896209786,34.25,62577,5.59910925346103e-05,0.00698172627145475,0.57,61415957154,54.9522434778158,35.967945457,109831.551339,0.866748,0.165908,0.480193,1.87372,72002462,4.98232,0.0332322,4.76698,5.08478,72002462,4.3131,0.795769,2.42423,8.99633,72002462,31.204,0.00866778,155.277,0.0431325,7.0604284,8.1607475
"j09","HS","GCC5","CGC","future-genetic","functional",2.104,24869852477,0.61,4303829647,17.3054088317582,156.906,226689836,5.27,7882929391,31.6967275873078,287.39,335923752,4.26,1269746553,5.10556527898298,46.291,208105026,16.39,44585,0.000179273278927701,0.0214236159758514,0.002,11413346886,45.892298301951,13.035887814,27429.385065,0.812823,0.104427,0.505875,1.52351,26136802,4.9928,0.0211717,4.83622,5.08024,26136802,4.05625,0.50477,2.55217,7.40962,26136802,10.6223,0.00295064,53.0087,0.0147246,12.242814,7.5870949
"j09","HS","GCC5","CGC","gauss-mix","apache",0.818,78933611940,0.91,14923519775,18.9064194684818,253.149,573743897,3.84,24427925892,30.9474320148538,414.373,668548024,2.74,2246662717,2.84626873366413,38.11,327554829,14.58,86692,0.000109829004234467,0.0264657143049398,0.001,37335503556,47.2998797830003,72.038515017,58951.505673,0.675645,0.133853,0.473522,1.58121,144143862,5.0206,0.0267318,4.82827,5.08818,144143862,3.38874,0.650962,2.38948,7.67937,144143862,48.695,0.0135264,244.233,0.0678426,11.3538202,5.556438
"j09","HS","GCC5","CGC","log-regression","apache",1.181,92911399100,0.76,18264124261,19.6575710170314,213.974,882262429,4.83,28155564024,30.3036702673009,329.857,905915296,3.22,3478078275,3.74343547583065,40.748,561343214,16.14,198349,0.000213481878350059,0.0353335385723131,0.002,43013632540,46.295323239837,72.273193387,85356.846799,0.708334,0.13305,0.472521,1.69728,144613396,5.0142,0.0265161,4.80557,5.08818,144613396,3.54838,0.647094,2.3855,8.20649,144613396,51.2173,0.014227,256.572,0.07127,10.6213954,6.5767272
"j09","HS","GCC5","CGC","mnemonics","functional",1.492,50853198922,0.87,8910428120,17.5218635383529,228.22,228299180,2.56,13745938203,27.0306263802281,352.071,328705079,2.39,1136229879,2.23433314537947,29.102,152595049,13.43,94500,0.000185829017649306,0.0619283615958145,0.002,27060602720,53.2131769360395,26.162418924,39043.092955,0.752182,0.0860882,0.528556,1.38142,52390141,5.00546,0.0174307,4.868,5.0757,52390141,3.76371,0.417379,2.66359,6.76237,52390141,19.7035,0.00547318,98.5906,0.0273863,8.4144969,3.9083986
"j09","HS","GCC5","CGC","movie-lens","apache",1.873,276358318549,0.8,47870324731,17.321832388596,202.024,2104005831,4.4,80030761202,28.9590563519839,337.749,2420729214,3.02,9202903993,3.33006223272714,38.838,1538038282,16.71,121222,4.38640677206561e-05,0.00788279266376873,0.512,139254328623,50.389049026693,126.490785429,236953.637308,0.781477,0.180628,0.447172,1.71563,253046939,4.9996,0.0360937,4.80671,5.09159,253046939,3.90075,0.873113,2.26007,8.29519,253046939,98.8752,0.0274653,493.536,0.137093,10.2000198,6.4898298
"j09","HS","GCC5","CGC","naive-bayes","apache",1.575,406832851190,0.9,73761657530,18.1307033869671,217.02,846922640,1.15,94579619334,23.2477832253102,278.27,1526953154,1.61,7344259334,1.8052277028558,21.608,1181514167,16.09,585198,0.000143842366290794,0.0495220694870123,0.002,231147314992,56.8162856848669,215.866474244,339884.809047,0.736385,0.189256,0.472188,1.77166,431802794,5.00843,0.0376983,4.79309,5.08818,431802794,3.68119,0.915806,2.38436,8.53275,431802794,158.987,0.0441629,794.773,0.22077,4.480147,3.4767272
"j09","HS","GCC5","CGC","neo4j-analytics","database",1.843,401236061158,0.79,72007997427,17.9465417986556,210.8,2267448634,3.15,119524153443,29.7889858399177,349.901,3750897634,3.14,14622730945,3.64442091839841,42.807,2135789259,14.61,618965,0.000154264548957443,0.0289725944290296,0.002,195081179343,48.6200514430283,185.395702271,341594.320507,0.787934,0.154085,0.476524,1.66459,370854054,4.99819,0.0307011,4.81011,5.08705,370854054,3.9337,0.745056,2.40517,8.04845,370854054,146.104,0.0405845,729.415,0.202615,10.9868914,6.2541027
"j09","HS","GCC5","CGC","page-rank","apache",2.212,430791586789,0.99,83095181944,19.2889518951306,263.28,1382728310,1.66,124361061833,28.8680340208017,394.028,2106891854,1.69,8558425154,1.98667416366975,27.117,1587482488,18.55,605721,0.000140606506388594,0.0381535417942302,0.002,214776917858,49.856339920398,142.663049007,315614.695073,0.820886,0.181032,0.474523,1.73164,285391748,4.99146,0.0361518,4.79422,5.08591,285391748,4.09107,0.872744,2.39776,8.36116,285391748,117.137,0.0325381,583.779,0.162161,6.6590732,5.0302035
"j09","HS","GCC5","CGC","par-mnemonics","functional",1.753,51406897611,0.84,9044401543,17.593750962059,221.82,236538236,2.62,14206372378,27.6351482742661,348.421,357028687,2.51,1292367341,2.51399598314499,31.696,173401457,13.42,95326,0.000185434259661688,0.0549633100680822,0.002,26863756349,52.2571047805299,23.253191488,40773.603449,0.782555,0.101613,0.500205,1.52818,46572205,4.99955,0.0204496,4.83508,5.07797,46572205,3.91054,0.491373,2.52583,7.43395,46572205,18.2227,0.00506185,91.0613,0.0252948,8.7453671,4.2536032
"j09","HS","GCC5","CGC","philosophers","scala",2.443,35561410160,0.74,6487855883,18.2440905852987,186.957,241695627,3.73,11586287865,32.5810697969239,333.876,390701359,3.37,1444075278,4.06079306614313,41.613,130503389,9.04,47992,0.000134955278162681,0.0367629696207716,0.001,16043191134,45.1140465516343,14.20493486,34702.342114,0.855244,0.163633,0.529223,1.6766,28490462,4.98496,0.0326842,4.80898,5.07797,28490462,4.25821,0.787797,2.66515,8.10651,28490462,12.1831,0.00338421,60.6591,0.0168498,11.2516212,3.7618152
"j09","HS","GCC5","CGC","reactors","concurrency",2.554,264854276028,0.79,48494766902,18.3099807295062,214.031,1064861100,2.2,81484200116,30.7656728590576,359.63,2011837343,2.47,8910069220,3.36414021839619,39.325,759061270,8.52,321318,0.000121318788889793,0.042326697302235,0.001,125965239790,47.56020619304,88.703118534,226577.977218,0.864942,0.135754,0.500872,1.63991,177472370,4.98299,0.027199,4.81238,5.08251,177472370,4.30651,0.653778,2.5275,7.94336,177472370,76.7516,0.0213199,382.143,0.106151,8.882861,3.35049
"j09","HS","GCC5","CGC","rx-scrabble","functional",1.906,22028109009,0.74,4291586565,19.482319445789,214.896,239306451,5.58,7712423873,35.011738274261,386.191,258060013,3.35,966927464,4.38951642923568,48.418,106682143,11.03,55071,0.000250003302496368,0.0516361144058046,0.003,9057171107,41.1164258507143,10.47951711,19970.515231,0.798835,0.119221,0.529223,1.50516,21024441,4.99615,0.0238816,4.84303,5.0791,21024441,3.98845,0.576247,2.66756,7.33054,21024441,8.39753,0.00233265,41.9274,0.0116465,12.9373985,5.3405054
"j09","HS","GCC5","CGC","scala-doku","scala",1.252,75250541462,0.97,14539469302,19.3214148622999,279.243,460236993,3.17,24566044774,32.6456717742096,471.811,652945957,2.66,2298017241,3.05382153583633,44.135,793386004,34.52,62964,8.36724876349169e-05,0.00793721675570919,0.001,33847010145,44.9790918276542,41.586092193,52067.533414,0.742292,0.0748855,0.52889,1.53385,83239665,5.00725,0.0152983,4.83395,5.07797,83239665,3.71588,0.363352,2.66588,7.45991,83239665,30.8941,0.00858169,154.654,0.0429595,12.5501726,15.235402
"j09","HS","GCC5","CGC","scala-kmeans","scala",1.303,12825344178,0.87,2429023728,18.9392479007825,245.063,106523829,4.39,4489356523,35.0037898452724,452.929,132754595,2.96,409374935,3.19192163047151,41.302,43321317,10.58,50331,0.000392433912895183,0.116206024309703,0.005,5497588992,42.8650406234735,7.607236545,9911.825273,0.735194,0.0830729,0.540897,1.45613,15280487,5.00872,0.0168602,4.85324,5.07116,15280487,3.68117,0.403241,2.72456,7.10993,15280487,5.61706,0.0015603,28.1251,0.00781251,13.4066984,4.3697516
"j09","HS","GCC5","CGC","scala-stm-bench7","scala",1.936,33306551771,0.73,6776007949,20.3443694669704,223.295,252485222,3.73,11411436662,34.2618375521417,376.05,378903527,3.32,1324975414,3.97812245203256,43.663,158641273,11.97,114124,0.000342647298899815,0.0719573258075669,0.004,13794131746,41.4156705288554,15.674332324,30345.497262,0.796793,0.128133,0.498538,1.5155,31415826,4.99669,0.0256215,4.84076,5.08024,31415826,3.97823,0.618708,2.51571,7.38262,31415826,12.5159,0.00347665,62.4898,0.0173583,12.48486,5.2264611
"j09","HS","GCC5","CGC","scrabble","functional",2.186,30644928116,0.8,5922963530,19.3277122647502,232.266,244023656,4.12,10109710366,32.9898322088791,396.448,300561152,2.97,1133787967,3.69975730635843,44.461,106689368,9.41,71001,0.000231689236572005,0.0665492244398666,0.003,13478466253,43.9826982200124,11.667160954,25500.746243,0.84391,0.163287,0.527889,1.64125,23400324,4.9873,0.0326673,4.81238,5.07797,23400324,4.2037,0.785336,2.66143,7.95257,23400324,9.87388,0.00274275,49.1839,0.0136622,11.7745056,4.1837801
"j09","HS","GCC5","CPGC","akka-uct","concurrency",3.575,338600627092,0.74,62864620643,18.5660083334457,206.754,1293563765,2.06,103289887835,30.5049310516887,339.707,2495926809,2.42,10416173395,3.07624161374334,34.257,1624304933,15.59,398859,0.000117796296901608,0.024562076520566,0.001,162029945219,47.8528190011223,85.059932148,304055.444348,0.968717,0.115621,0.505208,1.6716,170190140,4.96269,0.023346,4.80671,5.0791,170190140,4.80496,0.555513,2.54938,8.0899,170190140,82.433,0.0228981,408.878,0.113577,8.2209094,5.3406663
"j09","HS","GCC5","CPGC","chi-square","apache",1.013,92499478339,0.87,16923902876,18.2962144002324,235.905,534054298,3.16,25285269060,27.3355801719577,352.455,624858619,2.47,2468884116,2.66907896166919,34.414,333539731,13.51,163907,0.000177197756077391,0.0491407122440315,0.002,47821422287,51.6991264661407,70.829865748,71740.472238,0.699594,0.13144,0.473188,1.51684,141726114,5.01601,0.026177,4.83849,5.08705,141726114,3.50591,0.639652,2.38887,7.38051,141726114,49.5754,0.0137709,248.44,0.0690111,8.7056385,4.6493314
"j09","HS","GCC5","CPGC","db-shootout","database",1.089,259373712334,0.69,49174126771,18.9587935988199,191.676,884940826,1.8,66274497550,25.5517403647511,258.331,1656789576,2.5,8464055407,3.26326647786908,32.992,1130552253,13.36,538283,0.00020753182547152,0.0476020557229025,0.002,135461032606,52.2261995585599,235.602414309,256548.338176,0.700086,0.158047,0.470854,1.65992,471272783,5.01579,0.0315046,4.81352,5.08932,471272783,3.50669,0.767244,2.37815,8.04283,471272783,164.966,0.0458238,826.303,0.229529,6.458275,4.4077312
"j09","HS","GCC5","CPGC","dec-tree","apache",1.371,123301740552,0.75,23808747611,19.3093361897508,215.559,1040763599,4.37,38283677663,31.0487731086445,346.611,1300023079,3.4,4625514430,3.75137804972776,41.878,694181276,15.01,142600,0.000115651246577384,0.0205389762696279,0.001,56583800848,45.8905126518769,80.576362948,110451.317966,0.725642,0.157112,0.473856,1.64725,161219285,5.01076,0.0313482,4.81352,5.08818,161219285,3.63128,0.76241,2.39278,7.98889,161219285,58.4938,0.0162483,292.716,0.08131,11.784774,6.2858878
"j09","HS","GCC5","CPGC","dotty","scala",2.203,139983977984,0.6,29194634513,20.8556971543821,188.418,1560253481,5.34,51555111368,36.8292944024585,332.729,2685879485,5.21,7769400258,5.55020679501481,50.143,1368721304,17.62,123315,8.80922243930622e-05,0.00900787824719025,0.796,51464831845,36.7648016481446,70.345751049,154946.117769,0.814666,0.100579,0.500205,1.58054,140758790,4.99246,0.0202186,4.82827,5.08137,140758790,4.06535,0.487201,2.52299,7.67127,140758790,57.3357,0.0159266,286.117,0.0794769,17.3351809,8.8351966
"j09","HS","GCC5","CPGC","finagle-chirper","web",3.052,87694391727,0.4,16927989511,19.303388937001,114.029,1262321279,7.46,31099530809,35.4635344365184,209.489,1447091976,4.65,6764785186,7.71404539421329,45.568,1499167468,22.16,80695,9.20184271888336e-05,0.00538298115758317,0.544,32902086221,37.5190312322673,48.635264145,148453.95177,0.863972,0.115775,0.446172,1.59689,97336546,4.98326,0.0233022,4.8226,5.09272,97336546,4.3029,0.560155,2.2545,7.73978,97336546,42.048,0.01168,209.415,0.0581707,9.7412385,10.0978688
"j09","HS","GCC5","CPGC","finagle-http","web",3.064,69518920133,0.33,13522160210,19.4510504250211,96.675,1182960928,8.75,25193878406,36.2403189776256,180.12,1320626708,5.24,6604608210,9.50044706874676,47.219,1335850288,20.23,78944,0.000113557575188119,0.00590848564846828,0.564,24198273307,34.8081835286065,45.646917513,139872.483395,0.854351,0.119244,0.445838,1.59989,91398885,4.98506,0.0239897,4.82487,5.09272,91398885,4.25634,0.577825,2.25484,7.7616,91398885,39.0434,0.0108454,194.512,0.0540312,9.438288,9.5524037
"j09","HS","GCC5","CPGC","fj-kmeans","concurrency",3.045,110539748117,0.77,18051138057,16.3299974574701,164.513,201686570,1.12,29729137343,26.8945224224081,270.944,773615506,2.6,2596704037,2.34911340149928,23.666,895842016,34.5,62413,5.64620428969491e-05,0.00696680267751329,0.569,60162768680,54.4263667186225,36.034791639,109724.446123,0.865841,0.162844,0.484529,1.83303,72136394,4.98271,0.0326569,4.7772,5.08364,72136394,4.30912,0.781352,2.44667,8.80877,72136394,31.2293,0.00867481,155.422,0.0431729,7.044544,8.16477
"j09","HS","GCC5","CPGC","future-genetic","functional",2.108,25550383719,0.62,4495941760,17.5963766706826,162.311,225886443,5.02,8078747381,31.6188886626873,291.656,328731868,4.07,1271936570,4.97815055925814,45.919,208998026,16.43,44731,0.000175069777784733,0.0214045247624936,0.002,11703758008,45.8065841073719,13.139248364,27699.563856,0.805007,0.102536,0.527556,1.6269,26344461,4.99466,0.0207449,4.82146,5.07797,26344461,4.0188,0.495815,2.65855,7.88468,26344461,10.6037,0.00294548,52.9366,0.0147046,11.8703992,7.5444917
"j09","HS","GCC5","CPGC","gauss-mix","apache",1.047,77210380077,0.9,14491842972,18.7692936591526,249.128,569335747,3.93,24102900442,31.2171762630397,414.35,668906050,2.78,2308773830,2.99023761791811,39.69,335187034,14.52,89115,0.000115418419014552,0.0265829273290701,0.002,36306862833,47.0232924598895,55.541048109,58170.365157,0.703217,0.1445,0.472521,1.44512,111150075,5.01502,0.0288038,4.85892,5.08818,111150075,3.52267,0.702369,2.38443,7.06275,111150075,39.0813,0.0108559,195.772,0.0543812,11.51893,5.762988
"j09","HS","GCC5","CPGC","log-regression","apache",1.246,93312034548,0.77,18333516723,19.6475372247608,223.179,865580085,4.72,28138262000,30.1550192708804,342.535,882763700,3.14,3446152849,3.69314940531844,41.951,564882844,16.39,200638,0.000215018353175861,0.0355221873463386,0.002,43394102976,46.5042940990403,65.922123235,82147.017181,0.720779,0.132943,0.471521,1.58688,131911226,5.01184,0.0264856,4.82827,5.08932,131911226,3.60909,0.646238,2.38099,7.70871,131911226,47.5394,0.0132054,238.04,0.0661222,10.755599,6.8757689
"j09","HS","GCC5","CPGC","mnemonics","functional",1.471,50331348657,0.88,8746363844,17.3775670181323,227.615,226658967,2.59,13677009521,27.1739380842079,355.929,313262377,2.29,1121852822,2.22893455457601,29.195,145469564,12.97,94328,0.000187414012373938,0.0648283197542601,0.002,26786122470,53.2195603430838,26.116962158,38426.200223,0.746619,0.0875984,0.525888,1.5115,52298439,5.00649,0.0177329,4.84303,5.08024,52298439,3.73658,0.424603,2.64955,7.35797,52298439,19.5235,0.0054232,97.7086,0.0271413,8.1507741,3.7865915
"j09","HS","GCC5","CPGC","movie-lens","apache",1.829,271408339755,0.81,46879922133,17.2728377378965,192.012,2064199301,4.4,78720148753,29.004321983643,322.424,2356919040,2.99,9046102109,3.33302289722044,37.051,1507234267,16.66,117060,4.31305832774593e-05,0.0077673350129832,0.479,136762166760,50.38981738124,133.504149526,244151.10666,0.766956,0.179574,0.473188,1.80568,267075082,5.00231,0.0357719,4.78628,5.08818,267075082,3.83032,0.868207,2.38887,8.69212,267075082,102.417,0.0284493,511.491,0.142081,9.6404776,6.1726966
"j09","HS","GCC5","CPGC","naive-bayes","apache",1.503,370349792320,0.8,67623233866,18.2592876432803,211.351,831417254,1.23,85372633438,23.0518918083351,266.825,1569941474,1.84,7464959654,2.0156510976385,23.331,1185916274,15.89,586398,0.00015833625727899,0.0494357489821966,0.002,209888965362,56.6731694507461,212.853858244,319956.986971,0.740072,0.189434,0.471521,1.68427,425780350,5.00765,0.0377755,4.8033,5.08932,425780350,3.69905,0.917266,2.38152,8.1461,425780350,157.554,0.043765,787.492,0.218748,4.90958,3.7072959
"j09","HS","GCC5","CPGC","neo4j-analytics","database",1.924,428328390447,0.81,77284147302,18.0431998031573,214.207,2383830184,3.08,128686167732,30.0438099836679,356.677,3516884816,2.73,14551258122,3.39722008779629,40.331,2251969367,15.48,616880,0.000144020339010503,0.0273860369081881,0.002,207806817291,48.5157701253785,187.543143991,360791.964511,0.795334,0.152177,0.447506,1.7263,375152219,4.99681,0.0303251,4.79763,5.09045,375152219,3.96971,0.735294,2.26277,8.33896,375152219,149.186,0.0414405,744.623,0.20684,9.7372821,6.2432388
"j09","HS","GCC5","CPGC","page-rank","apache",2.157,426124307221,0.97,82933930244,19.4623796011214,265.992,1473815548,1.78,122736455969,28.802969905527,393.649,2283135969,1.86,9057643736,2.12558720131927,29.05,1610122277,17.78,611941,0.000143606217629503,0.0379981594339176,0.002,211396277272,49.6090632920323,144.525660587,311791.268918,0.819814,0.179462,0.47519,1.74264,289117209,4.99188,0.0357594,4.79422,5.08818,289117209,4.08619,0.865246,2.39898,8.41036,289117209,118.511,0.0329198,590.694,0.164082,7.3218714,5.16509
"j09","HS","GCC5","CPGC","par-mnemonics","functional",1.729,51689871949,0.86,9101949979,17.6087686732528,225.66,241030526,2.65,14103591949,27.2850200962296,349.662,354483379,2.51,1302133774,2.51912749036166,32.283,162588128,12.49,94653,0.000183117110627377,0.0581991097491777,0.002,27182196247,52.5870837401559,23.326858449,40334.872561,0.779858,0.100513,0.580922,1.58088,46719214,5.00014,0.020261,4.82827,5.06662,46719214,3.89755,0.486302,2.92221,7.67596,46719214,18.2172,0.00506032,91.0452,0.0252903,8.7765162,4.0321467
"j09","HS","GCC5","CPGC","philosophers","scala",2.34,34700344584,0.73,6359831278,18.3278620262822,192.221,247278302,3.89,11329653278,32.649973404656,342.43,408064830,3.6,1521748255,4.38539810841436,45.994,130586684,8.58,47727,0.000137540420915608,0.0365539266715795,0.001,15489111773,44.6367664606474,14.140136916,33086.029015,0.818502,0.156129,0.484195,1.6189,28418258,4.99222,0.0312338,4.81692,5.08705,28418258,4.08146,0.754803,2.44444,7.85323,28418258,11.6302,0.00323061,57.994,0.0161094,12.32748,3.9462852
"j09","HS","GCC5","CPGC","reactors","concurrency",2.532,265126192626,0.8,48460712135,18.2783570551858,216.248,1044214438,2.15,82244523075,31.0208969775454,367.003,2036117114,2.48,8820843704,3.32703593584324,39.362,753431560,8.54,321222,0.000121158153714798,0.0426419723468788,0.001,125600113712,47.3737100314256,88.514385932,224097.717142,0.871612,0.140333,0.504875,1.64992,177095587,4.9815,0.0280894,4.81011,5.08024,177095587,4.33819,0.675322,2.54884,7.98813,177095587,77.1793,0.0214387,384.137,0.106705,9.1016744,3.3615148
"j09","HS","GCC5","CPGC","rx-scrabble","functional",1.899,21656166499,0.74,4202655275,19.4062752297091,214.891,233168114,5.55,7599819324,35.0930961135293,388.596,251645168,3.31,950494731,4.3890257818432,48.601,102645075,10.8,54357,0.000251000101991781,0.052951956401277,0.003,8903197169,41.1116028749184,10.298229139,19557.11628,0.797039,0.123344,0.528556,1.36841,20662420,4.99645,0.0247684,4.87367,5.0791,20662420,3.97951,0.59573,2.66539,6.70482,20662420,8.23438,0.00228733,41.1132,0.0114203,12.8625276,5.248908
"j09","HS","GCC5","CPGC","scala-doku","scala",1.197,75183233407,0.94,14509785389,19.2992303356416,271.566,457363414,3.15,24657066953,32.795965051836,461.483,801886584,3.25,2520931284,3.35304983539759,47.182,798465994,31.67,64135,8.53049238422734e-05,0.00803315280202124,0.001,33495449781,44.5517547771248,44.618279149,53430.061566,0.736626,0.08137,0.474523,1.51183,89304661,5.00849,0.0165127,4.84416,5.08818,89304661,3.68823,0.395224,2.39615,7.35797,89304661,32.8921,0.00913669,164.688,0.0457466,14.9981975,14.9425394
"j09","HS","GCC5","CPGC","scala-kmeans","scala",1.292,12917476785,0.87,2450698632,18.9719608000054,245.643,108445112,4.43,4500772105,34.842501983254,451.131,130127871,2.89,412612958,3.19422256271545,41.358,42907175,10.4,49937,0.000386584786109217,0.116371396542147,0.005,5553393090,42.9913146540251,7.7201845,9976.648333,0.73431,0.0805172,0.528223,1.37375,15506166,5.00894,0.0163458,4.87254,5.0791,15506166,3.67699,0.391133,2.66191,6.71546,15506166,5.69317,0.00158144,28.508,0.00791888,13.0376859,4.301232
"j09","HS","GCC5","CPGC","scala-stm-bench7","scala",1.95,33955217797,0.74,6922178132,20.3861985906967,226.219,251065819,3.63,11530502327,33.9579689811877,376.82,380989359,3.3,1303004856,3.8374215821261,42.583,153871721,11.81,112629,0.000331698652835474,0.0731904296004014,0.004,14199532482,41.8184108459895,15.691458641,30599.465868,0.798358,0.130773,0.503207,1.64058,31448544,4.99632,0.0261474,4.81465,5.08024,31448544,3.98563,0.631326,2.54042,7.94909,31448544,12.5536,0.00348711,62.6712,0.0174087,12.43506,5.0290523
"j09","HS","GCC5","CPGC","scrabble","functional",2.032,30376006428,0.81,5811690910,19.1325048728028,229.723,244743939,4.21,9974969477,32.838317639429,394.288,287273843,2.88,1096370394,3.60933026729079,43.337,102007994,9.3,71051,0.000233905007125975,0.0696834985232033,0.003,13492975647,44.4198472204774,12.451395261,25298.70978,0.829206,0.166633,0.478525,1.66626,24968786,4.99011,0.0332025,4.81352,5.08478,24968786,4.1325,0.803616,2.41581,8.06975,24968786,10.3521,0.00287559,51.5917,0.014331,11.3554944,4.030341
"j09","HS","GCC5","G1GC","akka-uct","concurrency",3.754,408179946991,0.82,75439523510,18.4819279011919,208.294,1719148034,2.28,141886179785,34.7606933733392,391.759,3392966017,2.39,13566624923,3.32368726661115,37.458,1866586383,13.76,392261,9.61000173799937e-05,0.0210128460675208,0.001,177287618773,43.4336914588577,96.476227373,362177.643501,0.968979,0.144404,0.504541,1.80835,193020317,4.96272,0.0288841,4.78287,5.0791,193020317,4.80482,0.693295,2.54486,8.70658,193020317,93.5163,0.0259768,463.714,0.128809,9.3630401,5.1542208
"j09","HS","GCC5","G1GC","chi-square","apache",0.946,93369189493,0.88,16488882899,17.6598757990035,231.42,565270033,3.43,26443355207,28.321286015857,371.131,599162420,2.27,2790482484,2.98865450064682,39.164,328390551,11.77,446818,0.00047854972547823,0.136042591618344,0.006,47646468903,51.0301836844927,75.326803514,71250.820374,0.69345,0.130267,0.472855,1.65292,150738988,5.01709,0.0259778,4.81352,5.08705,150738988,3.4759,0.633099,2.3888,8.00352,150738988,52.265,0.0145181,261.977,0.0727714,8.4246737,4.6096028
